sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness,original_sp_id
Polypodiaceae (Polypodiaceoisporites lusaticus),autotroph ,autotroph,,48,Filicales,3,1,0,1,1.0,0.0,1.470464135021097,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,48
Polypodiaceae (Verrucatosporites favus),autotroph ,autotroph,,49,Filicales,3,1,0,4,1.0,0.0,1.655581947743468,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,49
Polypodiaceae (Verrucatosporites undulatus),autotroph ,autotroph,,50,Filicales,2,1,0,3,1.0,0.0,1.562780269058296,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,50
Schizaeaceae (Ruffordia subcretacea and Cicatricosisporites paradorogensis),autotroph ,autotroph,,51,Filicales,3,1,0,2,1.0,0.0,1.5769230769230769,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,51
Schizaeaceae (Lygodium kaulfussi),autotroph ,autotroph,,52,Filicales,3,1,0,5,1.0,0.0,1.4829787234042553,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,52
Schizaeaceae (Lygodium microadriennis),autotroph ,autotroph,,53,Filicales,3,1,0,3,1.0,0.0,1.3967935871743486,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,53
Schizaeaceae (Schizaea sp.),autotroph ,autotroph,,54,Filicales,3,1,0,3,1.0,0.0,1.5804988662131518,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,54
Blechnaceae (gen. et sp. indet.),autotroph ,autotroph,,55,Filicales,3,1,0,1,1.0,0.0,1.3175803402646502,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,55
Gleicheniaeae (gen. et sp. indet.),autotroph ,autotroph,,56,Filicales,3,1,0,1,1.0,0.0,1.195540308747856,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,56
Parkeriaceae (gen. et sp. indet.),autotroph ,autotroph,,57,Filicales,3,1,0,1,1.0,0.0,139.4,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,57
Cephalotaxaceae (Cephalotaxus cf. messelensis),autotroph ,autotroph,,58,Coniferales,3,1,0,2,1.0,0.0,1.3150943396226416,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,58
Cupressaceae (Cupressacites insulipapillatus),autotroph ,autotroph,,59,Coniferales,3,1,0,3,1.0,0.0,1.1873935264054514,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,59
Cupressaceae (Libocedrites salicorniodes),autotroph ,autotroph,,60,Coniferales,3,1,0,2,1.0,0.0,1.1520661157024794,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,60
Cupressaceae (Sciadopitys sp.),autotroph ,autotroph,,61,Coniferales,3,1,0,2,1.0,0.0,1.2491039426523298,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,61
Cupressaceae (Glyptostrobus sp.),autotroph ,autotroph,,62,Coniferales,3,1,0,3,1.0,0.0,1.591324200913242,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,62
Cupressaceae (Inaperturopollenites concedipites),autotroph ,autotroph,,63,Coniferales,3,1,0,4,1.0,0.0,1.449064449064449,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,63
Cupressaceae (Doliostrobus sp.),autotroph ,autotroph,,64,Coniferales,3,1,0,3,1.0,0.0,1.3150943396226416,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,64
Pinaceae (Pityosporites microalatus ),autotroph ,autotroph,,65,Coniferales,3,1,0,10,1.0,0.0,1.4166666666666667,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,66
Pinaceae (Pityosporites labdacus ),autotroph ,autotroph,,66,Coniferales,3,1,0,12,1.0,0.0,1.548888888888889,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,67
Ephedraceae (Ephedripites eocenipites),autotroph ,autotroph,,67,Gnetales,3,1,0,6,1.0,0.0,1.617169373549884,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,68
Nympheaceae (Monocolpopollenites crassiexinus),autotroph ,autotroph,,68,Nympheales,3,2,0,13,1.0,0.0,1.8103896103896104,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,69
Araceae (sp. indet. 1),autotroph ,autotroph,,69,Alismatales,3,1,0,2,1.0,0.0,1.4109311740890689,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,70
Hydrocharitaceae (Punctilongisulcites microechinatus),autotroph ,autotroph,,70,Alismatales,3,2,0,3,1.0,0.0,1.425357873210634,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,71
Araceae (sp. indet. 2),autotroph ,autotroph,,71,Alismatales,3,1,0,6,1.0,0.0,1.5876993166287017,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,72
Araceae (sp. indet. 3),autotroph ,autotroph,,72,Alismatales,3,1,0,6,1.0,0.0,1.584090909090909,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,73
Smilacaceae (cf. Smilax sp.),autotroph ,autotroph,,73,Liliales,3,1,0,10,1.0,0.0,1.6323185011709602,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,74
Pandanaceae (gen. et sp. indet.),autotroph ,autotroph,,74,Pandanales,3,1,0,2,1.0,0.0,1.3200757575757576,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,75
Arecaceae (Monocolpopollenites tranquillus),autotroph ,autotroph,,75,Arecales,3,1,0,6,1.0,0.0,1.7735368956743003,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,76
Arecaceae (Phoenicites sp.),autotroph ,autotroph,,76,Arecales,3,1,0,11,1.0,0.0,1.7083333333333333,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,77
Arecaceae (cf. Arecoideae: flower type A),autotroph ,autotroph,,77,Arecales,3,1,0,9,1.0,0.0,1.7381546134663342,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,78
Arecaceae (cf. Lepidocaryoideae: pinnate leaf),autotroph ,autotroph,,78,Arecales,3,1,0,7,1.0,0.0,1.7041564792176038,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,79
Arecaceae (flower type B),autotroph ,autotroph,,79,Arecales,3,1,0,6,1.0,0.0,1.3912175648702594,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,80
Arecaceae (Sabalitides sp.),autotroph ,autotroph,,80,Arecales,3,1,0,20,1.0,0.0,1.531868131868132,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,81
Cyclanthaceae (gen. et sp. indet.),autotroph ,autotroph,,81,Arecales,3,1,0,3,1.0,0.0,1.5558035714285714,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,82
Typhaceae (gen. et sp. indet.),autotroph ,autotroph,,82,Typhales,3,3,0,7,1.0,0.0,1.824607329842932,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,83
Sparaganiaceae (Sparganiaceaepollenites sp. 1),autotroph ,autotroph,,83,Typhales,3,3,0,3,1.0,0.0,1.7167487684729064,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,84
Sparaganiaceae (Sparganiaceaepollenites sp. 2),autotroph ,autotroph,,84,Typhales,3,3,0,2,1.0,0.0,1.5352422907488987,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,85
Cyperaceae (Caricoidea sp.),autotroph ,autotroph,,85,Juncales,3,1,0,8,1.0,0.0,1.8488063660477454,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,86
Cyperaceae (gen. et sp. indet.),autotroph ,autotroph,,86,Juncales,2,1,0,12,1.0,0.0,1.8736559139784945,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,87
Restoniaceae (Milfordia hungarica),autotroph ,autotroph,,87,Poales,3,1,0,6,1.0,0.0,1.5876993166287017,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,88
Restoniaceae (Milfordia incerta),autotroph ,autotroph,,88,Poales,3,1,0,7,1.0,0.0,1.584090909090909,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,89
Zingiberaceae (gen. et sp. indet.),autotroph ,autotroph,,89,Zingiberales,3,3,0,12,1.0,0.0,1.6795180722891567,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,90
Magnoliaceae (sp. indet. 1),autotroph ,autotroph,,90,Magnoliales,3,1,0,7,1.0,0.0,1.683574879227053,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,91
Magnoliaceae (sp. indet. 2),autotroph ,autotroph,,91,Magnoliales,3,1,0,10,1.0,0.0,1.7425,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,92
Annonaceae (gen. et sp. indet.),autotroph ,autotroph,,92,Magnoliales,3,1,0,19,1.0,0.0,1.7826086956521738,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,93
Chloranthaceae (Emmapollis pseudoemmaensis),autotroph ,autotroph,,93,Laurales,3,1,0,14,1.0,0.0,1.7338308457711442,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,94
Lauraceae (cf. Laurophyllum lanigeroides†),autotroph ,autotroph,,94,Laurales,3,1,0,16,1.0,0.0,1.5769230769230769,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,95
Lauraceae (cf. Daphnogene†),autotroph ,autotroph,,95,Laurales,3,1,0,14,1.0,0.0,1.667464114832536,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,96
Lauraceae (gen. et sp. indet),autotroph ,autotroph,,96,Laurales,3,1,0,24,1.0,0.0,1.6958637469586375,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,97
Illiciaceae (gen. et sp. indet.),autotroph ,autotroph,,97,Illiciales,3,1,0,12,1.0,0.0,1.7917737789203085,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,98
Menispermaceae (Tinospora sp.),autotroph ,autotroph,,98,Ranunculales,3,1,0,15,1.0,0.0,1.7,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,99
Menispermaceae (gen. et sp. indet.),autotroph ,autotroph,,99,Ranunculales,3,1,0,18,1.0,0.0,1.6876513317191284,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,100
Berberidaceae (gen et sp. indet.),autotroph ,autotroph,,100,Ranunculales,3,1,0,12,1.0,0.0,1.7468671679197996,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,101
Sargentodoxaceae (cf. Sargentodoxa sp.),autotroph ,autotroph,,101,Ranunculales,3,1,0,5,1.0,0.0,1.8390501319261214,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,102
Eucommiaceae ( Eucommia and Tricolpopollenites parmularius ),autotroph ,autotroph,,102,Eucommiales,3,1,0,6,1.0,0.0,1.8103896103896104,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,103
Buxaceae (gen et sp. indet).,autotroph ,autotroph,,103,Proteales',3,1,0,7,1.0,0.0,1.7041564792176038,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,104
Platanaceae (cf. Platanus),autotroph ,autotroph,,104,Proteales,3,1,0,7,1.0,0.0,1.6022988505747127,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,105
Vitaceae† gen. et sp. indet.,autotroph ,autotroph,,105,Vitales,3,1,0,14,1.0,0.0,1.8636363636363635,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,106
Vitaceae (Vitis sp. and ?Tricolporopollenites marcodurensis),autotroph ,autotroph,,106,Vitales,3,1,0,19,1.0,0.0,1.778061224489796,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,107
Vitaceae Tetrastigma sp.),autotroph ,autotroph,,107,Vitales,3,1,0,20,1.0,0.0,1.7,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,108
Vitaceae (Cissus sp.),autotroph ,autotroph,,108,Vitales,3,1,0,21,1.0,0.0,1.8293963254593175,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,109
Vitaceae (Ampelopsis sp.),autotroph ,autotroph,,109,Vitales,3,1,0,16,1.0,0.0,1.805699481865285,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,110
Rhamnaceae (Tricolporopollenites sp.),autotroph ,autotroph,,110,Vitales,3,1,0,9,1.0,0.0,1.6958637469586375,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,111
Nyctaginaceae (gen. et sp. indet.),autotroph ,autotroph,,111,Caryophyllales,3,1,0,10,1.0,0.0,1.7556675062972291,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,112
Cercidiphyllaceae (Cercidiphyllum sp.),autotroph ,autotroph,,112,Saxifragales,3,1,0,19,1.0,0.0,1.7425,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,113
Hamamelidaceae (Compositioipollenites rhizophorus),autotroph ,autotroph,,113,Saxifragales,3,1,0,4,1.0,0.0,1.7338308457711442,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,114
?Hamamelidaceae (Labrapollis labraferus),autotroph ,autotroph,,114,Saxifragales,3,1,0,2,1.0,0.0,1.446058091286307,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,115
Olacaceae (Olaxipollis matthesii ),autotroph ,autotroph,,115,Santalales,3,1,0,8,1.0,0.0,1.7125307125307125,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,116
Loranthaceae (Gothanipollis gothanii),epiphyte ,epiphyte,,116,Santalales,3,1,0,3,1.0,0.0,1.295539033457249,0.0,1.0,1.295539033457249,0.0,117
Staphyleaceae (Tapiscia sp.),autotroph ,autotroph,,117,Geraniales,3,1,0,10,1.0,0.0,1.7826086956521738,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,118
Icacinaceae (Stemonurus sp.),autotroph ,autotroph,,118,Celastrales,3,1,0,6,1.0,0.0,1.6285046728971964,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,119
Icacinaceae (Compositoipollenites rhizophorus),autotroph ,autotroph,,119,Celastrales,3,1,0,9,1.0,0.0,1.5386313465783665,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,120
Icacinaceae (Compositopollenites minimus),autotroph ,autotroph,,120,Celastrales,3,1,0,5,1.0,0.0,1.5021551724137931,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,121
Malpighiaceae (Tetrapteris sp.),autotroph ,autotroph,,121,Malpighiales,3,1,0,9,1.0,0.0,1.6477541371158393,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,122
Salicaceae (Salix and Tricolpopollenties retiformis),autotroph ,autotroph,,122,Malpighiales,3,1,0,11,1.0,0.0,1.7645569620253165,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,123
Euphorbiaceae (Spinaepollis spinosus),autotroph ,autotroph,,123,Malpighiales,3,1,0,7,1.0,0.0,1.5285087719298245,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,124
Fabaceae (sp. indet. 1),myxotroph ,myxotroph,,124,Fabales,3,1,0,29,1.0,0.0,1.7252475247524752,0.0,1.5714285714285714,1.7739015270551073,248.92857142857142,125
Fabaceae (sp. indet. 2),myxotroph ,myxotroph,,125,Fabales,3,1,0,30,1.0,0.0,1.7125307125307125,0.0,1.5714285714285714,1.7739015270551073,248.92857142857142,126
Rosaceae (sp. indet. 1),autotroph ,autotroph,,126,Rosales,3,1,0,10,1.0,0.0,1.7125307125307125,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,127
Rosaceae (sp. indet. 2),autotroph ,autotroph,,127,Rosales,3,1,0,16,1.0,0.0,1.7468671679197996,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,128
Rosaceae (cf. Rosa or Rubus),autotroph ,autotroph,,128,Rosales,3,1,0,21,1.0,0.0,1.7735368956743003,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,129
Moraceae (Ficus sp.),autotroph ,autotroph,,129,Rosales,3,1,0,29,1.0,0.0,1.778061224489796,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,130
Celtidiaceae (Celtipollenites intrastructurus),autotroph ,autotroph,,130,Rosales,3,1,0,12,1.0,0.0,1.6285046728971964,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,131
Celtidiaceae (Celtipollenites laevigatus),autotroph ,autotroph,,131,Rosales,3,1,0,11,1.0,0.0,1.64,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,132
Ulmaceae (Polyporopollenites undulosus),autotroph ,autotroph,,132,Rosales,3,1,0,8,1.0,0.0,1.64,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,133
Ulmaceae (Polyporopollenites verrucatus),autotroph ,autotroph,,133,Rosales,3,1,0,7,1.0,0.0,1.7083333333333333,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,134
Ulmaceae (Ulmus sp. and ?Polyporopollenites eoulmoides),autotroph ,autotroph,,134,Rosales,3,1,0,10,1.0,0.0,1.5662921348314607,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,135
Ulmaceae (Zelkova sp.),autotroph ,autotroph,,135,Rosales,3,1,0,6,1.0,0.0,1.6634844868735084,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,136
Myricaceae (Comptonia sp. and Triatriopollenites excelsus),myxotroph ,myxotroph,,136,Fagales,3,1,0,7,1.0,0.0,1.5804988662131518,0.0,1.5714285714285714,1.7739015270551073,248.92857142857142,137
Myricaceae (Triatriopollenites rurensis),myxotroph ,myxotroph,,137,Fagales,3,1,0,5,1.0,0.0,1.4766949152542372,0.0,1.5714285714285714,1.7739015270551073,248.92857142857142,138
Myricaceae (Triatriopollenites bituitus),myxotroph ,myxotroph,,138,Fagales,3,1,0,6,1.0,0.0,1.6247086247086246,0.0,1.5714285714285714,1.7739015270551073,248.92857142857142,139
Betulaceae (Alnipollenites verus ),myxotroph ,myxotroph,,139,Fagales,3,1,0,11,1.0,0.0,1.636150234741784,0.0,1.5714285714285714,1.7739015270551073,248.92857142857142,140
Betulaceae (Trivestibulopollenites betuloides ),autotroph ,autotroph,,140,Fagales,3,1,0,7,1.0,0.0,1.7252475247524752,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,141
Betulaceae (Carpinus sp.),autotroph ,autotroph,,141,Fagales,3,1,0,12,1.0,0.0,1.7083333333333333,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,142
Betulaceae (Ostrya sp.),autotroph ,autotroph,,142,Fagales,3,1,0,11,1.0,0.0,1.7381546134663342,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,143
Juglandaceae (Carya sp. 1 and Caryapollenites triangularus),autotroph ,autotroph,,143,Fagales,3,1,0,8,1.0,0.0,1.6209302325581396,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,144
Juglandaceae (Carya sp. 2 and Caryapollenites circulus),autotroph ,autotroph,,144,Fagales,3,1,0,6,1.0,0.0,1.5558035714285714,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,145
