sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,d_seed
 44 bottlebrush squirreltail (grass), 44 bottlebrush squirreltail (grass),0,0,5,1,0,0
 45 plains bahia (forb/shrub), 45 plains bahia (forb/shrub),0,0,6,1,0,0
 46 plains prickly pear (forb/shrub), 46 plains prickly pear (forb/shrub),0,0,6,1,0,0
 47 greenthread (forb/shrub), 47 greenthread (forb/shrub),0,0,3,1,0,0
 48 groundsel (forb/shrub), 48 groundsel (forb/shrub),0,0,4,1,0,0
 49 small soapweed (forb/shrub), 49 small soapweed (forb/shrub),0,0,1,1,0,0
 50 upright prairie coneflower (forb/shrub), 50 upright prairie coneflower (forb/shrub),0,0,1,1,0,0
 51 prairie spiderwart (forb/shrub), 51 prairie spiderwart (forb/shrub),0,0,2,1,0,0
 52 unidentified seeds (forb/shrub), 52 unidentified seeds (forb/shrub),0,0,4,1,0,0
 53 fungus (forb/shrub), 53 fungus (forb/shrub),0,0,4,1,0,0
 54 common buckwheat (forb/shrub), 54 common buckwheat (forb/shrub),0,0,1,1,0,0
 55 tansy leaf aster (forb/shrub), 55 tansy leaf aster (forb/shrub),0,0,1,1,0,0
 56 lambs-quarter (forb/shrub), 56 lambs-quarter (forb/shrub),0,0,1,1,0,0
 57 cream peavine (forb/shrub), 57 cream peavine (forb/shrub),0,0,1,1,0,0
 58 slenderbush buckwheat (forb/shrub), 58 slenderbush buckwheat (forb/shrub),0,0,1,1,0,0
 59 Cryptantha (forb/shrub), 59 Cryptantha (forb/shrub),0,0,1,1,0,0
 60 orchard grass (grass), 60 orchard grass (grass),0,0,1,1,0,0
 61 Canada wild rye (grass), 61 Canada wild rye (grass),0,0,1,1,0,0
 62 wild rye (grass), 62 wild rye (grass),0,0,1,1,0,0
 63 wild buckwheat (forb/shrub), 63 wild buckwheat (forb/shrub),0,0,1,1,0,0
 64 peavine (forb/shrub), 64 peavine (forb/shrub),0,0,1,1,0,0
 65 silky crazyweed (forb/shrub), 65 silky crazyweed (forb/shrub),0,0,1,1,0,0
 66 musineon (forb/shrub), 66 musineon (forb/shrub),0,0,2,1,0,0
 67 bush peavine (forb/shrub), 67 bush peavine (forb/shrub),0,0,1,1,0,0
 68 knotweed (forb/shrub), 68 knotweed (forb/shrub),0,0,3,1,0,0
 69 indian ricegrass (grass), 69 indian ricegrass (grass),0,0,3,1,0,0
 70 pendler three-awn (grass), 70 pendler three-awn (grass),0,0,3,1,0,0
 71 tumbleweed amaranth (forb/shrub), 71 tumbleweed amaranth (forb/shrub),0,0,1,1,0,0
 72 slimleaf goosefoot (forb/shrub), 72 slimleaf goosefoot (forb/shrub),0,0,1,1,0,0
 73 lichen (forb/shrub), 73 lichen (forb/shrub),0,0,3,1,0,0
 74 antelope, 74 antelope,1,14,0,2,1,
 75 cattle, 75 cattle,1,14,0,2,1,
 76 sheep, 76 sheep,1,12,0,2,1,
 77 bison, 77 bison,1,10,0,2,1,
 78 black-tailed jackrabbit, 78 black-tailed jackrabbit,1,17,3,2,1,
 79 white-tailed jackrabbit, 79 white-tailed jackrabbit,1,18,3,2,1,
 80 grasshopper (opob), 80 grasshopper (opob),1,3,0,2,1,
 81 grasshopper (trki), 81 grasshopper (trki),1,2,0,2,1,
 82 grasshopper (psde), 82 grasshopper (psde),1,2,0,2,1,
 83 grasshopper (arps), 83 grasshopper (arps),1,4,0,2,1,
 84 grasshopper (mein), 84 grasshopper (mein),1,10,0,2,1,
 85 Coleoptera, 85 Coleoptera,1,15,9,2,1,
 86 Diptera, 86 Diptera,1,15,6,2,1,
 87 Hemiptera, 87 Hemiptera,1,9,4,2,1,
 88 Homoptera, 88 Homoptera,1,17,3,2,1,
 89 vole, 89 vole,1,0,1,1,0,
 90 Hymenoptera, 90 Hymenoptera,1,14,6,2,1,
 91 butterflies, 91 butterflies,1,9,8,2,1,
 92 thrips, 92 thrips,1,10,0,2,1,
 93 gopher, 93 gopher,1,11,4,2,1,
 94 kangaroo rat, 94 kangaroo rat,1,8,2,2,1,
 95 harvester ant, 95 harvester ant,1,24,0,2,1,
 96 unidentified grasshoppers, 96 unidentified grasshoppers,1,0,9,1,0,
 97 lacewings, 97 lacewings,1,0,1,1,0,
 98 crickets, 98 crickets,1,0,1,1,0,
 99 cottontail rabbits, 99 cottontail rabbits,1,0,7,1,0,
100 prairie vole,100 prairie vole,1,0,2,1,0,
101 muskrat,101 muskrat,1,0,1,1,0,
102 harvest mouse,102 harvest mouse,1,0,1,1,0,
103 meadow vole,103 meadow vole,1,0,1,1,0,
104 ring-necked pheasent,104 ring-necked pheasent,1,0,1,1,0,
105 horned lark,105 horned lark,1,12,0,2.808510638,2,
106 McCown's longspur,106 McCown's longspur,1,15,0,2.897727273,2,
107 chestnut-collard longspur,107 chestnut-collard longspur,1,7,0,2.970149254,2,
108 ground squirrel,108 ground squirrel,1,19,3,2.703703704,2,
109 spiders,109 spiders,1,0,3,1,0,
110 dragonflies,110 dragonflies,1,0,1,1,0,
111 house mouse,111 house mouse,1,0,1,1,0,
112 horned lark,112 horned lark,1,0,2,1,0,
"113 misc. fur, feather, fin","113 misc. fur, feather, fin",1,0,3,1,0,
114 hispid pocket mouse,114 hispid pocket mouse,1,0,2,1,0,
115 unidentified bird,115 unidentified bird,1,0,4,1,0,
116 unknown small mammal,116 unknown small mammal,1,0,3,1,0,
117 westwern meadowlark,117 westwern meadowlark,1,0,3,1,0,
118 long-billed curlew,118 long-billed curlew,1,0,1,1,0,
119 killdeer,119 killdeer,1,0,1,1,0,
120 mountain plover,120 mountain plover,1,0,1,1,0,
121 lark bunting,121 lark bunting,1,15,1,2.861111111,2,
122 robber fly,122 robber fly,1,19,0,2.858695652,2,
123 deer mouse,123 deer mouse,1,13,5,2.795918367,2,
124 grasshopper mouse,124 grasshopper mouse,1,13,2,2.85483871,2,
125 misc. arthropods,125 misc. arthropods,1,0,6,1,0,
126 unknown snake,126 unknown snake,1,0,2,1,0,
127 weasel,127 weasel,1,0,2,1,0,
128 burrowing owl,128 burrowing owl,1,12,2,3.505494505,3,
129 great horned owl,129 great horned owl,1,4,0,3.515151515,3,
130 long-eared owl,130 long-eared owl,1,6,0,3.526315789,3,
131 barn owl,131 barn owl,1,10,0,3.425287356,3,
132 golden eagle,132 golden eagle,1,5,0,3.225352113,3,
133 ferruginous hawk,133 ferruginous hawk,1,10,0,3.139534884,3,
134 Swainson's hawk,134 Swainson's hawk,1,18,0,3.43718593,3,
