sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
     64 Sarcophaga sp. larvae,     64 Sarcophaga sp. larvae,1,1,3.0,2.0
     65 Sirex nigricornia larvae,     65 Sirex nigricornia larvae,1,0,2.0,1.0
     66 Orussus sp. larvae,     66 Orussus sp. larvae,2,0,3.0,2.0
     67 Coeloides pissodis larvae,     67 Coeloides pissodis larvae,1,0,3.0,2.0
     68 Camponotus herculeanus,     68 Camponotus herculeanus,1,0,3.0,2.0
     69 Leptinothorax curvispinosus,     69 Leptinothorax curvispinosus,1,0,3.0,2.0
     70 Ponera coarctata,     70 Ponera coarctata,1,0,3.0,2.0
     71 Lasius umbratus,     71 Lasius umbratus,1,0,3.0,2.0
     72 uropodid sp.,     72 uropodid sp.,1,1,3.0,2.0
     73 Parasitus sp.,     73 Parasitus sp.,1,0,3.0,2.0
     74 Dendrolaelaps sp.,     74 Dendrolaelaps sp.,1,0,3.0,2.0
     75 Pergamasus sp.,     75 Pergamasus sp.,1,0,3.0,2.0
     76 Geophilus varians,     76 Geophilus varians,1,0,3.0,2.0
     77 Linotaenia bidens,     77 Linotaenia bidens,1,0,3.0,2.0
     78 Cryptops hyalina,     78 Cryptops hyalina,1,0,3.0,2.0
     79 Bothropolys multidentatus,     79 Bothropolys multidentatus,1,0,3.0,2.0
     80 Chelanops oblongus,     80 Chelanops oblongus,1,0,3.0,2.0
     81 C. virginnae,     81 C. virginnae,1,0,3.0,2.0
     82 Chelifer cancroides,     82 Chelifer cancroides,1,0,3.0,2.0
     83 various larvae (unsp.),     83 various larvae (unsp.),3,14,2.5,1.0
     84 chironomid larvae,     84 chironomid larvae,1,2,3.0,2.0
     85 cecidomyid larvae,     85 cecidomyid larvae,1,2,3.0,2.0
     86 dolicopodid larvae,     86 dolicopodid larvae,1,2,3.0,2.0
     87 dead cerambycid detritus,     87 dead cerambycid detritus,0,1,1.0,0.0
     88 phloem (Pinus spp.),     88 phloem (Pinus spp.),0,26,1.0,0.0
     89 sapwood detritus,     89 sapwood detritus,0,7,1.0,0.0
     90 fungi,     90 fungi,2,30,2.0,1.0
